Season,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM
,,,,,,,,,,,,,,,,,,,,
2008-09,15.2,.489,.118,.391,7.6,9.7,8.6,27.5,2.1,0.4,17.6,25.8,,-0.1,2.0,1.9,.035,,-0.1,-0.9
2009-10,17.8,.491,.090,.364,6.0,10.3,8.2,38.6,2.0,0.9,16.6,25.7,,2.7,3.4,6.1,.105,,1.7,-0.5
2010-11,23.6,.538,.074,.454,5.2,10.3,7.8,42.7,2.8,0.8,15.9,31.6,,6.3,3.1,9.4,.159,,4.3,-0.1
2011-12,22.9,.538,.155,.326,5.0,9.4,7.4,29.8,2.5,0.7,14.2,32.7,,5.5,2.4,7.9,.163,,3.7,-0.7
2012-13,23.9,.532,.195,.375,4.8,11.8,8.6,38.4,2.6,0.6,13.2,32.8,,7.7,3.9,11.6,.195,,4.6,-0.2
2013-14,24.7,.545,.271,.370,4.6,15.9,10.5,40.2,3.1,0.4,16.1,34.4,,3.0,2.3,5.2,.178,,4.8,0.7
2014-15,29.1,.536,.196,.445,5.9,16.7,11.4,47.0,3.0,0.5,14.3,38.4,,7.5,3.2,10.6,.222,,6.9,1.2
2015-16,27.6,.554,.236,.397,6.1,18.1,12.4,49.6,2.9,0.6,16.8,31.6,,10.0,4.0,14.0,.245,,6.4,1.4
2016-17,30.6,.554,.300,.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,,8.5,4.6,13.1,.224,,8.7,2.4
2017-18,24.7,.524,.193,.336,5.6,25.7,15.3,49.8,2.5,0.6,16.4,34.1,,5.5,4.5,10.1,.166,,4.8,1.5
2018-19,21.1,.501,.279,.306,4.1,28.3,15.8,46.5,2.5,1.1,16.3,30.9,,1.8,5.0,6.8,.124,,2.8,2.4
2019-20,21.0,.536,.166,.297,5.1,18.1,11.5,35.6,2.1,0.8,15.0,34.4,,1.7,2.5,4.2,.098,,1.6,-0.1
2020-21,19.5,.509,.221,.334,4.9,28.6,16.8,48.6,1.7,0.8,18.0,30.2,,0.5,3.2,3.7,.075,,2.6,1.1
2021-22,15.0,.512,.215,.324,4.4,18.8,11.6,31.6,1.3,0.7,17.3,27.3,,-0.6,2.3,1.7,.030,,-0.7,-0.9
2022-23,16.1,.513,.289,.317,4.7,16.5,10.8,38.6,1.7,1.3,18.4,27.7,,-0.6,2.6,1.9,.044,,0.3,-0.1
2022-23,15.3,.496,.292,.326,4.4,18.2,11.5,38.5,1.7,1.3,18.1,28.8,,-1.2,1.9,0.7,.023,,-0.2,0.1
2022-23,17.8,.562,.279,.290,5.4,12.6,9.0,38.9,1.8,1.4,19.4,25.2,,0.6,0.7,1.2,.092,,1.6,-0.8
2023-24,16.2,.514,.232,.241,7.1,17.8,12.7,29.2,2.4,1.4,16.4,25.2,,0.2,1.9,2.1,.066,,-0.2,0.7
2024-25,5.4,.289,.400,.400,3.5,14.1,8.8,24.7,3.4,4.1,12.0,24.3,,-0.2,0.1,-0.1,-0.109,,-7.9,0.5